Ticker,Ticker2,Correlation,,,,,,,,,,
GRASIM,BAJFINANCE,-28.64%,,,,,,,,,,
HCLTECH,BAJFINANCE,-34.55%,,,,,,,,,,
HDFCBANK,BAJFINANCE,25.09%,,,,,,,,,,
HDFCLIFE,BAJFINANCE,15.42%,,,,,,,,,,
HEROMOTOCO,BAJFINANCE,-37.50%,,,,,,,,,,
HINDALCO,BAJFINANCE,-20.18%,,,,,,,,,,
HINDUNILVR,BAJFINANCE,28.00%,,,,,,,,,,
ICICIBANK,BAJFINANCE,-30.25%,,,,,,,,,,
INDUSINDBK,BAJFINANCE,29.08%,,,,,,,,,,
INFY,BAJFINANCE,-22.60%,,,,,,,,,,
ITC,BAJFINANCE,20.30%,,,,,,,,,,
JSWSTEEL,BAJFINANCE,-15.57%,,,,,,,,,,
KOTAKBANK,BAJFINANCE,37.81%,,,,,,,,,,
LT,BAJFINANCE,-32.56%,,,,,,,,,,
M&M,BAJFINANCE,-25.80%,,,,,,,,,,
MARUTI,BAJFINANCE,-30.73%,,,,,,,,,,
NESTLEIND,BAJFINANCE,2.69%,,,,,,,,,,
NTPC,BAJFINANCE,-40.01%,,,,,,,,,,
ONGC,BAJFINANCE,-53.17%,,,,,,,,,,
POWERGRID,BAJFINANCE,-45.47%,,,,,,,,,,
RELIANCE,BAJFINANCE,-47.33%,,,,,,,,,,
SBILIFE,BAJFINANCE,-15.41%,,,,,,,,,,
SBIN,BAJFINANCE,-51.75%,,,,,,,,,,
SHRIRAMFIN,BAJFINANCE,-20.48%,,,,,,,,,,
SUNPHARMA,BAJFINANCE,-41.83%,,,,,,,,,,
TATACONSUM,BAJFINANCE,-42.20%,,,,,,,,,,
TATAMOTORS,BAJFINANCE,-53.30%,,,,,,,,,,
TATASTEEL,BAJFINANCE,-33.69%,,,,,,,,,,
TCS,BAJFINANCE,-41.59%,,,,,,,,,,
TECHM,BAJFINANCE,-21.90%,,,,,,,,,,
TITAN,BAJFINANCE,3.90%,,,,,,,,,,
TRENT,BAJFINANCE,-26.80%,,,,,,,,,,
ULTRACEMCO,BAJFINANCE,-26.12%,,,,,,,,,,
WIPRO,BAJFINANCE,-43.48%,,,,,,,,,,
ADANIENT,BEL,59.76%,,,,,,,,,,
ADANIPORTS,BEL,90.04%,,,,,,,,,,
APOLLOHOSP,BEL,75.21%,,,,,,,,,,
ASIANPAINT,BEL,-24.63%,,,,,,,,,,
AXISBANK,BEL,86.30%,,,,,,,,,,
BAJAJ-AUTO,BEL,87.27%,,,,,,,,,,
BAJAJFINSV,BEL,24.83%,,,,,,,,,,
BAJFINANCE,BEL,-35.33%,,,,,,,,,,
BEL,BEL,100.00%,,,,,,,,,,
BHARTIARTL,BEL,90.43%,,,,,,,,,,
BPCL,BEL,83.98%,,,,,,,,,,
BRITANNIA,BEL,79.66%,,,,,,,,,,
CIPLA,BEL,86.08%,,,,,,,,,,
COALINDIA,BEL,88.97%,,,,,,,,,,
DRREDDY,BEL,78.00%,,,,,,,,,,
EICHERMOT,BEL,93.54%,,,,,,,,,,
GRASIM,BEL,94.55%,,,,,,,,,,
HCLTECH,BEL,56.61%,,,,,,,,,,
HDFCBANK,BEL,53.85%,,,,,,,,,,
HDFCLIFE,BEL,30.01%,,,,,,,,,,
HEROMOTOCO,BEL,90.03%,,,,,,,,,,
HINDALCO,BEL,90.46%,,,,,,,,,,
HINDUNILVR,BEL,38.23%,,,,,,,,,,
ICICIBANK,BEL,90.90%,,,,,,,,,,
INDUSINDBK,BEL,-41.53%,,,,,,,,,,
INFY,BEL,61.85%,,,,,,,,,,
ITC,BEL,47.60%,,,,,,,,,,
JSWSTEEL,BEL,87.30%,,,,,,,,,,
KOTAKBANK,BEL,11.38%,,,,,,,,,,
LT,BEL,72.92%,,,,,,,,,,
M&M,BEL,94.93%,,,,,,,,,,
MARUTI,BEL,77.07%,,,,,,,,,,
NESTLEIND,BEL,15.96%,,,,,,,,,,
NTPC,BEL,90.60%,,,,,,,,,,
ONGC,BEL,85.07%,,,,,,,,,,
POWERGRID,BEL,95.79%,,,,,,,,,,
RELIANCE,BEL,72.35%,,,,,,,,,,
SBILIFE,BEL,68.24%,,,,,,,,,,
SBIN,BEL,92.53%,,,,,,,,,,
SHRIRAMFIN,BEL,84.19%,,,,,,,,,,
SUNPHARMA,BEL,80.45%,,,,,,,,,,
